Nitrogen,Phosphorus,Potassium,Temperature,Humidity,Rainfall,pH,Season,Crop_Label
102,36,45,16.55411293058391,78.48571082074416,170.9138789211646,4.964802508682116,Monsoon,Sunflower
92,128,129,29.535051673812514,81.62399190005212,148.79824998418218,6.417000624897597,Monsoon,Vegetables
14,131,55,32.96375341740592,55.09181899125143,111.79636899261345,7.379797747150179,Spring,Barley
106,99,144,20.736655921770677,33.06243523634213,295.8930004430049,5.15775413974187,Spring,Lentil
71,53,91,34.04041431885137,28.8983278327796,113.31431736556843,7.521457748313083,Summer,Coconut
20,121,81,20.46371765596063,61.171487705614474,55.94068905451259,4.740817847799595,Monsoon,Millets
102,24,78,32.74415384527863,55.44634272097104,178.11710339711945,5.098497921027986,Winter,Bajra
121,130,149,11.011903223731569,68.63523716573673,144.26262326272885,5.620441452728894,Winter,Maize
74,8,104,26.53493804420958,41.36450838339938,115.34562585731612,7.684396269648349,Summer,Barley
87,33,26,39.0857968191966,48.16575965170536,208.65202912029335,7.900547556493604,Spring,Peas
116,42,54,39.43733802047172,21.495275169581017,141.06715372445558,5.381519257464948,Spring,Mustard
99,73,59,18.45257735025222,62.71001315528703,150.5627220792182,4.8831353021019845,Monsoon,Barley
103,93,108,23.241972732410666,49.620046494253444,55.76140097351108,7.891815129389006,Spring,Jowar
130,21,119,11.88933723959899,84.38352436694134,197.2677321382644,7.097469750088428,Winter,Wheat
149,69,84,36.20023922813799,64.92504083933633,80.5177574617607,5.131421745594725,Monsoon,Maize
52,129,85,27.057164594206423,47.908614401478566,103.45121472385544,6.73086714060301,Monsoon,Wheat
1,93,116,21.553020368215513,38.45124266113453,229.27945515315955,7.98948573154214,Spring,Sugarcane
87,31,107,13.383116754674592,83.36994598253472,128.31068154597776,4.7780597682070525,Monsoon,Peas
37,105,74,38.403018564906674,21.13855518822103,90.80254935959523,4.834884934593121,Monsoon,Vegetables
